InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
539993,22386,JUMBO BAG PINK POLKADOT,10,1/4/2011 10:00,1.95,13313,United Kingdom
539993,21499,BLUE POLKADOT WRAP,25,1/4/2011 10:00,0.42,13313,United Kingdom
539993,21498,RED RETROSPOT WRAP ,25,1/4/2011 10:00,0.42,13313,United Kingdom
539993,22379,RECYCLING BAG RETROSPOT ,5,1/4/2011 10:00,2.1,13313,United Kingdom
539993,20718,RED RETROSPOT SHOPPER BAG,10,1/4/2011 10:00,1.25,13313,United Kingdom
539993,85099B,JUMBO BAG RED RETROSPOT,10,1/4/2011 10:00,1.95,13313,United Kingdom
539993,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,1/4/2011 10:00,3.25,13313,United Kingdom
539993,22961,JAM MAKING SET PRINTED,12,1/4/2011 10:00,1.45,13313,United Kingdom
539993,22667,RECIPE BOX RETROSPOT ,6,1/4/2011 10:00,2.95,13313,United Kingdom
539993,22898,CHILDRENS APRON APPLES DESIGN,8,1/4/2011 10:00,1.95,13313,United Kingdom
539993,22896,PEG BAG APPLES DESIGN,6,1/4/2011 10:00,2.55,13313,United Kingdom
539993,22303,COFFEE MUG APPLES DESIGN,6,1/4/2011 10:00,2.55,13313,United Kingdom
539993,22302,COFFEE MUG PEARS  DESIGN,6,1/4/2011 10:00,2.55,13313,United Kingdom
539993,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,1/4/2011 10:00,2.95,13313,United Kingdom
539993,22808,SET OF 6 T-LIGHTS EASTER CHICKS,12,1/4/2011 10:00,2.95,13313,United Kingdom
539993,22458,CAST IRON HOOK GARDEN FORK,8,1/4/2011 10:00,2.55,13313,United Kingdom
539993,22862,LOVE HEART NAPKIN BOX ,4,1/4/2011 10:00,4.25,13313,United Kingdom
539994,22830,,-1,1/4/2011 10:09,0,,United Kingdom
539995,85064,,-12,1/4/2011 10:12,0,,United Kingdom
539996,21784,,-10,1/4/2011 10:12,0,,United Kingdom
539997,84689,,5,1/4/2011 10:15,0,,United Kingdom
539998,84675,,2,1/4/2011 10:16,0,,United Kingdom
539999,20892,,-1,1/4/2011 10:16,0,,United Kingdom
540000,84499,,-9,1/4/2011 10:17,0,,United Kingdom
540001,21733,RED HANGING HEART T-LIGHT HOLDER,32,1/4/2011 10:22,2.55,18097,United Kingdom
540001,22062,CERAMIC BOWL WITH LOVE HEART DESIGN,24,1/4/2011 10:22,2.95,18097,United Kingdom
540001,22060,LARGE CAKE STAND HANGING HEARTS,6,1/4/2011 10:22,9.95,18097,United Kingdom
540001,22151,PLACE SETTING WHITE HEART,48,1/4/2011 10:22,0.42,18097,United Kingdom
540001,22508,DOORSTOP RETROSPOT HEART,16,1/4/2011 10:22,3.39,18097,United Kingdom
540001,21411,GINGHAM HEART  DOORSTOP RED,12,1/4/2011 10:22,4.25,18097,United Kingdom
540001,22644,CERAMIC CHERRY CAKE MONEY BANK,60,1/4/2011 10:22,1.45,18097,United Kingdom
540001,70006,LOVE HEART POCKET WARMER,48,1/4/2011 10:22,0.42,18097,United Kingdom
540001,21231,SWEETHEART CERAMIC TRINKET BOX,24,1/4/2011 10:22,1.25,18097,United Kingdom
540002,21911,GARDEN METAL SIGN ,12,1/4/2011 10:23,1.65,16656,United Kingdom
540002,22625,RED KITCHEN SCALES,8,1/4/2011 10:23,8.5,16656,United Kingdom
540002,21259,VICTORIAN SEWING BOX SMALL ,24,1/4/2011 10:23,4.95,16656,United Kingdom
540002,21790,VINTAGE SNAP CARDS,144,1/4/2011 10:23,0.72,16656,United Kingdom
540003,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,1/4/2011 10:37,0.85,16875,United Kingdom
540003,22846,BREAD BIN DINER STYLE RED ,1,1/4/2011 10:37,16.95,16875,United Kingdom
540003,22624,IVORY KITCHEN SCALES,2,1/4/2011 10:37,8.5,16875,United Kingdom
540003,22767,TRIPLE PHOTO FRAME CORNICE ,4,1/4/2011 10:37,9.95,16875,United Kingdom
540003,22963,JAM JAR WITH GREEN LID,12,1/4/2011 10:37,0.85,16875,United Kingdom
540003,22962,JAM JAR WITH PINK LID,12,1/4/2011 10:37,0.85,16875,United Kingdom
540003,22427,ENAMEL FLOWER JUG CREAM,3,1/4/2011 10:37,5.95,16875,United Kingdom
540003,22796,PHOTO FRAME 3 CLASSIC HANGING,2,1/4/2011 10:37,9.95,16875,United Kingdom
540003,22193,RED DINER WALL CLOCK,2,1/4/2011 10:37,8.5,16875,United Kingdom
540003,22191,IVORY DINER WALL CLOCK,2,1/4/2011 10:37,8.5,16875,United Kingdom
540003,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,1/4/2011 10:37,0.95,16875,United Kingdom
540003,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,1/4/2011 10:37,0.85,16875,United Kingdom
540003,22768,FAMILY PHOTO FRAME CORNICE,2,1/4/2011 10:37,9.95,16875,United Kingdom
540003,22961,JAM MAKING SET PRINTED,12,1/4/2011 10:37,1.45,16875,United Kingdom
540003,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,1/4/2011 10:37,8.5,16875,United Kingdom
540003,84978,HANGING HEART JAR T-LIGHT HOLDER,12,1/4/2011 10:37,1.25,16875,United Kingdom
540003,22776,SWEETHEART CAKESTAND 3 TIER,2,1/4/2011 10:37,9.95,16875,United Kingdom
540003,84378,SET OF 3 HEART COOKIE CUTTERS,12,1/4/2011 10:37,1.25,16875,United Kingdom
540003,22847,BREAD BIN DINER STYLE IVORY,1,1/4/2011 10:37,16.95,16875,United Kingdom
540003,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,1/4/2011 10:37,4.95,16875,United Kingdom
540003,22457,NATURAL SLATE HEART CHALKBOARD ,6,1/4/2011 10:37,2.95,16875,United Kingdom
540003,22969,HOMEMADE JAM SCENTED CANDLES,12,1/4/2011 10:37,1.45,16875,United Kingdom
540004,84946,ANTIQUE SILVER TEA GLASS ETCHED,72,1/4/2011 10:37,1.06,13094,United Kingdom
540005,84813,SET OF 4 DIAMOND NAPKIN RINGS,8,1/4/2011 10:38,3.95,17315,United Kingdom
540005,47504K,ENGLISH ROSE GARDEN SECATEURS,24,1/4/2011 10:38,0.85,17315,United Kingdom
540005,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,2,1/4/2011 10:38,1.69,17315,United Kingdom
540005,22699,ROSES REGENCY TEACUP AND SAUCER ,1,1/4/2011 10:38,2.95,17315,United Kingdom
540005,85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,12,1/4/2011 10:38,1.65,17315,United Kingdom
540005,22780,LIGHT GARLAND BUTTERFILES PINK,1,1/4/2011 10:38,4.25,17315,United Kingdom
540005,22779,WOODEN OWLS LIGHT GARLAND ,1,1/4/2011 10:38,4.25,17315,United Kingdom
540005,22178,VICTORIAN GLASS HANGING T-LIGHT,15,1/4/2011 10:38,1.25,17315,United Kingdom
540005,21034,REX CASH+CARRY JUMBO SHOPPER,1,1/4/2011 10:38,0.95,17315,United Kingdom
540005,84949,SILVER HANGING T-LIGHT HOLDER,6,1/4/2011 10:38,1.65,17315,United Kingdom
540005,85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,6,1/4/2011 10:38,1.65,17315,United Kingdom
540005,22403,MAGNETS PACK OF 4 VINTAGE LABELS ,24,1/4/2011 10:38,0.42,17315,United Kingdom
540005,84766,SILVER ROCOCO CANDLE STICK,12,1/4/2011 10:38,1.95,17315,United Kingdom
540005,21034,REX CASH+CARRY JUMBO SHOPPER,1,1/4/2011 10:38,0.95,17315,United Kingdom
540005,21615,4 LAVENDER BOTANICAL DINNER CANDLES,12,1/4/2011 10:38,1.25,17315,United Kingdom
540005,21618,4 WILDFLOWER BOTANICAL CANDLES,12,1/4/2011 10:38,1.25,17315,United Kingdom
C540006,21306,SET/4 DAISY MIRROR MAGNETS,-1,1/4/2011 10:48,2.1,14606,United Kingdom
C540006,84352,SILVER CHRISTMAS TREE BAUBLE STAND ,-1,1/4/2011 10:48,16.95,14606,United Kingdom
C540006,22423,REGENCY CAKESTAND 3 TIER,-1,1/4/2011 10:48,12.75,14606,United Kingdom
C540007,21055,TOOL BOX SOFT TOY ,-6,1/4/2011 11:08,8.95,15379,United Kingdom
C540007,22274,FELTCRAFT DOLL EMILY,-6,1/4/2011 11:08,2.95,15379,United Kingdom
540008,85230F,,-48,1/4/2011 11:10,0,,United Kingdom
540009,22158,,-120,1/4/2011 11:10,0,,United Kingdom
540010,22501,reverse 21/5/10 adjustment,-100,1/4/2011 11:13,0,,United Kingdom
540011,22501,,30,1/4/2011 11:13,0,,United Kingdom
540012,22502,reverse 21/5/10 adjustment,-100,1/4/2011 11:14,0,,United Kingdom
540013,22794,SWEETHEART WIRE MAGAZINE RACK,1,1/4/2011 11:30,7.95,16255,United Kingdom
540013,22588,CARD HOLDER GINGHAM HEART,2,1/4/2011 11:30,2.55,16255,United Kingdom
540013,22961,JAM MAKING SET PRINTED,6,1/4/2011 11:30,1.45,16255,United Kingdom
540013,22585,PACK OF 6 BIRDY GIFT TAGS,5,1/4/2011 11:30,1.25,16255,United Kingdom
540013,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,5,1/4/2011 11:30,0.85,16255,United Kingdom
540013,22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,2,1/4/2011 11:30,0.85,16255,United Kingdom
540013,22723,SET OF 6 HERB TINS SKETCHBOOK,3,1/4/2011 11:30,3.95,16255,United Kingdom
540013,22151,PLACE SETTING WHITE HEART,72,1/4/2011 11:30,0.42,16255,United Kingdom
540013,21535,RED RETROSPOT SMALL MILK JUG,2,1/4/2011 11:30,2.55,16255,United Kingdom
540013,21531,RED RETROSPOT SUGAR JAM BOWL,2,1/4/2011 11:30,2.55,16255,United Kingdom
